id,timestampTypeName,publisherRole,primaryReceiver,eventClassifierCode,operationsEventTypeCode,portCallPhaseTypeCode,portCallServiceTypeCode,facilityTypeCode,portCallPhase,isBerthLocationNeeded,isPBPLocationNeeded,isTerminalNeeded,isVesselPositionNeeded,negotiationCycle,providedInStandard,acceptTimestampDefinition,rejectTimestampDefinition
UC1,ETA-Berth,CA,TR,EST,ARRI,INBD,null,BRTH,UC1P,FALSE,FALSE,TRUE,TRUE,TA-Berth,jit1_0,UC2,UC2
UC2,RTA-Berth,TR,CA,REQ,ARRI,INBD,null,BRTH,UC2P,TRUE,FALSE,TRUE,FALSE,TA-Berth,jit1_0,UC3,UC1
UC3,PTA-Berth,CA,TR,PLN,ARRI,INBD,null,BRTH,UC3P,TRUE,FALSE,TRUE,TRUE,TA-Berth,jit1_0,null,null
UC4,ETS-Cargo Ops,TR,CA,EST,STRT,INBD,CRGO,BRTH,UC4P,TRUE,FALSE,TRUE,FALSE,T-Cargo-Ops,jit1_1,UC5,UC5
UC5,RTS-Cargo Ops,CA,TR,REQ,STRT,INBD,CRGO,BRTH,UC5P,TRUE,FALSE,TRUE,FALSE,T-Cargo-Ops,jit1_1,UC6,UC6
UC6,PTS-Cargo Ops,TR,CA,PLN,STRT,INBD,CRGO,BRTH,UC6P,TRUE,FALSE,TRUE,FALSE,T-Cargo-Ops,jit1_1,null,null
UC7,ETA-PBP,CA,ATH,EST,ARRI,INBD,null,PBPL,UC7P,FALSE,TRUE,FALSE,TRUE,TA-PBP,jit1_0,UC12,UC12
UC8,RTS-Pilotage (Inbound),ATH,PLT,REQ,STRT,INBD,PILO,null,UC8P,FALSE,TRUE,TRUE,FALSE,T-Pilotage-Arrival,jit1_1,UC10,null
UC9,RTS-Towage (Inbound),ATH,TWG,REQ,STRT,INBD,TOWG,null,UC9P,FALSE,TRUE,TRUE,FALSE,T-Towage-Arrival,jit1_1,UC11,null
UC10,PTS-Pilotage (Inbound),PLT,ATH,PLN,STRT,INBD,PILO,null,UC10P,FALSE,TRUE,TRUE,FALSE,T-Pilotage-Arrival,jit1_1,null,null
UC11,PTS-Towage (Inbound),TWG,ATH,PLN,STRT,INBD,TOWG,null,UC11P,FALSE,TRUE,TRUE,FALSE,T-Towage-Arrival,jit1_1,null,null
UC12,RTA-PBP,ATH,CA,REQ,ARRI,INBD,null,PBPL,UC12P,FALSE,TRUE,FALSE,FALSE,TA-PBP,jit1_0,UC13,UC7
UC13,PTA-PBP,CA,ATH,PLN,ARRI,INBD,null,PBPL,UC13P,FALSE,TRUE,FALSE,TRUE,TA-PBP,jit1_0,null,null
UC14,ETS-Bunkering,BUK,VSL,EST,STRT,INBD,BUNK,BRTH,UC14P,TRUE,FALSE,TRUE,FALSE,T-Bunkering,jit1_1,UC16,UC16
UC15,ETC-Bunkering,BUK,VSL,EST,CMPL,INBD,BUNK,BRTH,UC15P,TRUE,FALSE,TRUE,FALSE,T-Bunkering,jit1_1,UC17,UC17
UC16,RTS-Bunkering,VSL,BUK,REQ,STRT,INBD,BUNK,BRTH,UC16P,TRUE,FALSE,TRUE,FALSE,T-Bunkering,jit1_1,UC18,UC14
UC17,RTC-Bunkering,VSL,BUK,REQ,CMPL,INBD,BUNK,BRTH,UC17P,TRUE,FALSE,TRUE,FALSE,T-Bunkering,jit1_1,UC19,UC15
UC18,PTS-Bunkering,BUK,VSL,PLN,STRT,INBD,BUNK,BRTH,UC18P,TRUE,FALSE,TRUE,FALSE,T-Bunkering,jit1_1,null,null
UC19,PTC-Bunkering,BUK,VSL,PLN,CMPL,INBD,BUNK,BRTH,UC19P,TRUE,FALSE,TRUE,FALSE,T-Bunkering,jit1_1,null,null
UC20,EOSP,CA,ATH,ACT,ARRI,INBD,null,null,UC20P,FALSE,FALSE,FALSE,TRUE,Special,jit1_1,null,null
UC21,ATA-PBP,CA,ATH,ACT,ARRI,INBD,null,PBPL,UC21P,FALSE,TRUE,FALSE,TRUE,TA-PBP,jit1_0,null,null
UC22,ATS-Pilotage (Inbound),PLT,ATH,ACT,STRT,INBD,PILO,null,UC22P,FALSE,FALSE,TRUE,TRUE,T-Pilotage-Arrival,jit1_1,null,null
UC23,ATS-Towage (Inbound),TWG,ATH,ACT,STRT,INBD,TOWG,null,UC23P,FALSE,FALSE,TRUE,TRUE,T-Towage-Arrival,jit1_1,null,null
UC24,ATC-Towage (Inbound),TWG,ATH,ACT,CMPL,INBD,TOWG,null,UC24P,FALSE,FALSE,TRUE,TRUE,T-Towage-Arrival,jit1_1,null,null
UC25,ATA-Berth,VSL,ATH,ACT,ARRI,ALGS,null,BRTH,UC25P,TRUE,FALSE,TRUE,FALSE,TA-Berth,jit1_0,null,null
UC26,AT-All fast,VSL,ATH,ACT,ARRI,ALGS,FAST,BRTH,UC26P,TRUE,FALSE,TRUE,FALSE,TA-Berth,jit1_1,null,null
UC27,Gangway down and safe,VSL,ATH,ACT,ARRI,ALGS,GWAY,BRTH,UC27P,TRUE,FALSE,TRUE,FALSE,TA-Berth,jit1_1,null,null
UC28,Vessel Readiness for cargo operations,VSL,TR,ACT,ARRI,ALGS,SAFE,BRTH,UC28P,TRUE,FALSE,TRUE,FALSE,TA-Berth,jit1_1,null,null
UC29,ATS-Cargo Ops,TR,CA,ACT,STRT,ALGS,CRGO,BRTH,UC29P,TRUE,FALSE,TRUE,FALSE,T-Cargo-Ops,jit1_0,null,null
UC30,ETC-Cargo Ops,TR,CA,EST,CMPL,ALGS,CRGO,BRTH,UC30P,TRUE,FALSE,TRUE,FALSE,T-Cargo-Ops,jit1_0,UC31,UC31
UC31,RTC-Cargo Ops,CA,TR,REQ,CMPL,ALGS,CRGO,BRTH,UC31P,TRUE,FALSE,TRUE,FALSE,T-Cargo-Ops,jit1_0,UC32,UC30
UC32,PTC-Cargo Ops,TR,CA,PLN,CMPL,ALGS,CRGO,BRTH,UC32P,TRUE,FALSE,TRUE,FALSE,T-Cargo-Ops,jit1_0,null,null
