Facility Name,UNLOCODE,Facility SMDG Code,Facility BIC Code
EPOLOG EXPORTVERPACKUNG UND LOGISTIK GMBH,DEHAM,,DEHAMAKNM
Baltic Logistics Service GmbH,DEHAM,,DEHAMALNB
PROGECO SCHLUISGROVE,DEHAM,,DEHAMBJTV
Braun Container Handels-GmbH,DEHAM,,DEHAMBRAA
Hccr,DEHAM,,DEHAMBUSA
CPS CONPAC PORT SERVICE GMBH,DEHAM,,DEHAMCATK
Progeco Hamburg Deutschland Gmbh,DEHAM,,DEHAMCDHA
Cdr container Depot,DEHAM,,DEHAMCDUA
CMR Hamburg,DEHAM,,DEHAMCMRA
CST Hamburg,DEHAM,,DEHAMCTHA
Dcp Dettmer Container Packing,DEHAM,,DEHAMDCBA
SCHWARZE & CONSORT. GMBH,DEHAM,,DEHAMEGBO
Eurogate Container Terminal Hamburg (CTH),DEHAM,,DEHAMEGHA
OCEANGATE DISTRIBUTION GMBH,DEHAM,,DEHAMEROD
EUROKOMBI Terminal GmbH,DEHAM,,DEHAMFXHE
Hhla Unikai Terminal,DEHAM,,DEHAMHCCC
Container Terminal Tollerort (CTT),DEHAM,,DEHAMHCCF
HCS Hamburger Container Service,DEHAM,,DEHAMHCSA
Container Terminal Burchardkai (CTB),DEHAM,,DEHAMHHLA
CONRO CONTAINER GMBH,DEHAM,,DEHAMHLZX
Hanse-Repair,DEHAM,,DEHAMHNSA
Hagendorf Planen Service,DEHAM,,DEHAMHPSA
NEFAB PACKAGING GERMANY GMBH,DEHAM,,DEHAMIJWC
Universal Container Systems,DEHAM,,DEHAMJABG
SWT STEINWEG SUED-WEST-TERMINAL,DEHAM,,DEHAMJHUP
GLOBAL PACKING CENTER GMBH,DEHAM,,DEHAMKJKS
MEDREPAIR HAMBURG,DEHAM,,DEHAMMNXR
CONTAINERPRUEFANLAGE (CPA),DEHAM,,DEHAMMPAQ
PACKING CENTER HAMBURG,DEHAM,,DEHAMNSHE
TRANSBALTIC UMSCHLAG & SPEDITIONS GMBH,DEHAM,,DEHAMNVUD
HAFEN LAGER SERVICE GMBH,DEHAM,,DEHAMONXW
LOGISTIKZENTRUM HAMBURG GMBH,DEHAM,,DEHAMPKUG
Ernst Logistik Depot,DEHAM,,DEHAMPPWX
REMAIN GMBH,DEHAM,,DEHAMRMAA
Remain Container-Depot Hamburg,DEHAM,,DEHAMRMTD
MEDREPAIR HAMBURG,DEHAM,,DEHAMROSL
SWOP SEAWORTHY PACKING GMBH,DEHAM,,DEHAMSMCU
Rexin Container Gruppe,DEHAM,,DEHAMSRXA
Cotac Depot Hamburg,DEHAM,,DEHAMUGIF
MT Container GmbH,DEHAM,,DEHAMUVHP
HLD HANSA LOGISTIK UND DISTRIBUTION GMBH,DEHAM,,DEHAMUVQI
LOGOO LOGISTIK GMBH NIEDERLASSUNG HAMBURG,DEHAM,,DEHAMVEDT
SPEDITION KRAUSE,DEHAM,,DEHAMVFKY
Bimicon Container-Service GmbH,DEHAM,,DEHAMVOJM
UNITAINER Trading GmbH,DEHAM,,DEHAMVWWG
HCCR HAMBURGER CONTAINER-/CHASSIS- REPARATUR GMBH.,DEHAM,,DEHAMWDYM
SCHWARZE & CO,DEHAM,,DEHAMWPAN
TCO TRANSCARGO GMBH,DEHAM,,DEHAMWTJH
KROHN & SCHRODER GMBH,DEHAM,,DEHAMWUXF
Rhenus Midgard Hamburg GmbH,DEHAM,,DEHAMXKPB
"EUROBOSS, HAMBURG",DEHAM,,DEHAMXNUK
LERO Internationale Spedition GmbH,DEHAM,,DEHAMXOHH
DSV CARGO CENTER,DEHAM,,DEHAMXPVU
Wilhelmsburger Container Service,DEHAM,,DEHAMYALU
CONDACO & KTD-M GMBH,DEHAM,,DEHAMYFDP
Container Care,GBLIV,,GBLIVCCIA
J H TANK SERVICES LTD,GBLIV,,GBLIVCHHG
CONTAINERS DIRECT LIVERPOOL,GBLIV,,GBLIVCYEE
JMD Haulage Contractors,GBLIV,,GBLIVJMDA
