Pattern ID,Publisher Role,Primary Receiver
AG2ATH,AG,ATH
AG2BUK,AG,BUK
AG2SVP,AG,SVP
AG2TR,AG,TR
ATH2AG,ATH,AG
ATH2CA,ATH,CA
ATH2MOR,ATH,MOR
ATH2PLT,ATH,PLT
ATH2TR,ATH,TR
ATH2TWG,ATH,TWG
ATH2VSL,ATH,VSL
BUK2AG,BUK,AG
BUK2CA,BUK,CA
BUK2VSL,BUK,VSL
CA2ATH,CA,ATH
CA2BUK,CA,BUK
CA2SVP,CA,SVP
CA2TR,CA,TR
LSH2CA,LSH,CA
MOR2ATH,MOR,ATH
PLT2ATH,PLT,ATH
SVP2AG,SVP,AG
SVP2CA,SVP,CA
SVP2VSL,SVP,VSL
TR2AG,TR,AG
TR2ATH,TR,ATH
TR2CA,TR,CA
TR2VSL,TR,VSL
TWG2ATH,TWG,ATH
VSL2ATH,VSL,ATH
VSL2BUK,VSL,BUK
VSL2SVP,VSL,SVP
VSL2TR,VSL,TR
