Timestamp ID,Pattern ID
TS93,BUK2VSL
TS98,ATH2AG
TS141,AG2ATH
TS202,PLT2VSL
TS164,AG2TWG
TS212,ATH2AG
TS139,AG2ATH
TS204,VSL2TWG
TS230,SVP2CA
TS50,PLT2CA
TS120,MOR2CA
TS200,VSL2PLT
TS167,TWG2CA
TS141,CA2ATH
TS158,PLT2VSL
TS196,ATH2CA
TS144,AG2PLT
TS16,TR2AG
TS186,MOR2CA
TS214,ATH2VSL
TS53,PLT2AG
TS51,PLT2VSL
TS99,ATH2VSL
TS202,CA2PLT
TS147,AG2PLT
TS98,AG2ATH
TS58,PLT2VSL
TS104,AG2ATH
TS229,VSL2SVP
TS209,TWG2VSL
TS114,TWG2VSL
TS114,AG2TWG
TS80,AG2BUK
TS127,VSL2ATH
TS153,PLT2CA
TS34,TWG2VSL
TS177,TWG2AG
TS194,VSL2MOR
TS132,TR2AG
TS19,TR2CA
TS232,VSL2ATH
TS55,PLT2AG
TS6,CA2TR
TS46,CA2PLT
TS70,MOR2VSL
TS218,VSL2ATH
TS10,VSL2TR
TS203,PLT2AG
TS231,SVP2AG
TS101,CA2ATH
TS142,CA2PLT
TS33,TWG2AG
TS7,AG2TR
TS171,TWG2VSL
TS226,CA2SVP
TS164,VSL2TWG
TS199,PLT2CA
TS176,TWG2VSL
TS143,CA2PLT
TS189,MOR2VSL
TS192,AG2TR
TS115,TWG2CA
TS44,CA2PLT
TS63,AG2MOR
TS146,VSL2PLT
TS32,TWG2CA
TS68,MOR2VSL
TS198,PLT2AG
TS189,MOR2AG
TS38,TWG2CA
TS172,TWG2AG
TS82,AG2BUK
TS50,PLT2VSL
TS210,VSL2ATH
TS121,MOR2CA
TS11,AG2TR
TS122,MOR2CA
TS170,TWG2AG
TS199,AG2PLT
TS78,MOR2AG
TS80,CA2BUK
TS114,VSL2TWG
TS144,CA2PLT
TS137,ATH2VSL
TS77,MOR2VSL
TS9,AG2TR
TS41,TWG2CA
TS105,AG2ATH
TS3,AG2TR
TS179,TR2CA
TS21,TR2VSL
TS24,TR2AG
TS159,PLT2CA
TS115,CA2TWG
TS86,BUK2CA
TS102,AG2ATH
TS113,TWG2CA
TS105,CA2ATH
TS212,ATH2VSL
TS117,TWG2AG
TS153,PLT2VSL
TS115,TWG2VSL
TS42,TWG2AG
TS115,AG2TWG
TS207,TWG2CA
TS136,ATH2VSL
TS102,CA2ATH
TS1,TR2CA
TS14,TR2AG
TS194,CA2MOR
TS96,BUK2CA
TS38,TWG2VSL
TS128,TR2AG
TS118,MOR2CA
TS131,TR2CA
TS203,VSL2PLT
TS33,TWG2VSL
TS196,VSL2ATH
TS53,PLT2VSL
TS113,CA2TWG
TS140,VSL2ATH
TS15,TR2CA
TS103,AG2ATH
TS67,MOR2VSL
TS201,PLT2AG
TS195,MOR2CA
TS47,AG2PLT
TS82,CA2BUK
TS180,TR2CA
TS113,AG2TWG
TS193,MOR2VSL
TS20,TR2VSL
TS119,CA2MOR
TS110,PLT2CA
TS182,AG2MOR
TS43,AG2PLT
TS183,AG2MOR
TS79,CA2BUK
TS193,AG2MOR
TS206,TWG2AG
TS6,VSL2TR
TS75,MOR2AG
TS73,MOR2AG
TS172,TWG2VSL
TS154,PLT2AG
TS216,AG2ATH
TS123,MOR2VSL
TS196,ATH2VSL
TS120,AG2MOR
TS181,AG2MOR
TS214,ATH2AG
TS13,TR2AG
TS123,AG2MOR
TS64,AG2MOR
TS99,ATH2AG
TS40,TWG2AG
