UN Location Code,UN Location Name,Location Code,ISO 3166-1
DEHAM,Hamburg,HAM,DE
BEANR,Antwerpen,ANR,BE
NLRTM,Rotterdam,RTM,NL
ESVLC,Valencia,VLC,ES
ESALG,Algeciras,ALG,ES
SGSIN,Singapore,SIN,SG
HKHKG,Hong Kong,HKG,HK
JPYOK,Yokohama,YOK,JP
DEBRV,Bremerhaven,BRV,DE
CNSGH,Shanghai,SGH,CN
JPTYO,Tokyo,TYO,JP
AEAUH,Abu Dhabi,AUH,AE
AEJEA,Jebel Ali,JEA,AE
AEKHL,Mina Khalifa/Abu Dhabi,KHL,AE
AEKLF,Khor al Fakkan,KLF,AE
AESHJ,Sharjah,SHJ,AE
AOLAD,Luanda,LAD,AO
ARBHI,Bahia Blanca,BHI,AR
ARBUE,Buenos Aires,BUE,AR
ARLPS,Las Palmas,LPS,AR
ARMDQ,Mar del Plata,MDQ,AR
ARPMY,Puerto Madryn,PMY,AR
ARPUD,Puerto Deseado,PUD,AR
ARROS,Rosario,ROS,AR
ARSAE,San Antonio Este,SAE,AR
ARUSH,Ushuaia,USH,AR
ARZAE,Zarate,ZAE,AR
ASPPG,Pago Pago,PPG,AS
AUADL,Adelaide,ADL,AU
AUBEL,Bell Bay,BEL,AU
AUBNE,Brisbane,BNE,AU
AUBWT,Burnie,BWT,AU
AUDRW,Darwin,DRW,AU
AUFRE,Fremantle,FRE,AU
AUGEX,Geelong,GEX,AU
AUGLT,Gladstone,GLT,AU
AUHLT,Hamilton,HLT,AU
AUMEL,Melbourne,MEL,AU
AUPKL,Port Kembla,PKL,AU
AUSYD,Sydney,SYD,AU
AWORJ,Oranjestad,ORJ,AW
BDCGP,Chattogram,CGP,BD
BDMUN,Munshiganj,MUN,BD
BEZEE,Zeebrugge,ZEE,BE
BHBAH,Bahrain International Airport,BAH,BH
BJCOO,Cotonou,COO,BJ
BRFOR,Fortaleza,FOR,BR
BRIBB,Imbituba,IBB,BR
BRIOA,Itapoa,IOA,BR
BRITJ,Itajai,ITJ,BR
BRMAO,Manaus,MAO,BR
BRNVT,Navegantes,NVT,BR
BRPEC,Pecem Pt/Sao Goncalo do Amarante,PEC,BR
BRPNG,Paranagua,PNG,BR
BRRIG,Rio Grande,RIG,BR
BRRIO,Rio de Janeiro,RIO,BR
BRSFS,Sao Francisco do Sul,SFS,BR
BRSLZ,Sao Luis,SLZ,BR
BRSPB,Itaguai Pt = Sepetiba Pt,SPB,BR
BRSSA,Salvador,SSA,BR
BRSSZ,Santos,SSZ,BR
BRSUA,Suape,SUA,BR
BRVDC,Vila do Conde Pt/Barcarena,VDC,BR
BRVIX,Vitoria Pt,VIX,BR
CAHAL,Halifax,HAL,CA
CAMTR,Montreal,MTR,CA
CAPRR,Prince Rupert,PRR,CA
CAVAN,Vancouver,VAN,CA
CGPNR,Pointe Noire,PNR,CG
CIABJ,Abidjan,ABJ,CI
CLANF,Antofagasta,ANF,CL
CLARI,Arica,ARI,CL
CLCNL,Coronel,CNL,CL
