Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ArrivalNotice,,,,,,,,
"ArrivalNotice / additionalInformation",additionalInformation,string,,maxLength=5000,,"Valid port entry pass required for drivers. Ensure vehicle registration is pre-submitted to port security.","Free text field to provide additional required information for the consignee to prepare for the shipment arrival,
e.g. additional required documents to prepare and present for shipment release - country specific.",
"ArrivalNotice / arrivalNoticeVisualization","arrivalNoticeVisualization",EmbeddedDocument,,,,,"Visualization of an arrival notice, as an embedded document",
"ArrivalNotice / arrivalNoticeVisualization / content",content,string,,,,RXhhbXBsZSBBTiBjb250ZW50,"Base64 representation of the binary document content",
"ArrivalNotice / arrivalNoticeVisualization / contentType",contentType,string,,maxLength=255,,application/msword,"Content type of document",
"ArrivalNotice / arrivalNoticeVisualization / name",name,string,,maxLength=255,,"20250123 AN XYZ01234.docx","Document name",
"ArrivalNotice / cargoMovementTypeAtDestination","cargoMovementTypeAtDestination",string,,maxLength=3,,FCL,"Refers to the shipment term at the **unloading** of the cargo out of the container. Possible values are:

- `FCL` (Full Container Load)
- `LCL` (Less than Container Load)",
"ArrivalNotice / carrierClauses",carrierClauses,"string list",,maxLength=20000,,,"Additional clauses for a specific shipment added by the carrier to the Bill of Lading, subject to local rules / guidelines or certain mandatory information required to be shared with the customer.
Item description:
The content of the clause.",
"ArrivalNotice / carrierCode",carrierCode,string,,maxLength=4,,MMCU,"The `SCAC` code (provided by [NMFTA](https://nmfta.org/scac/)) or `SMDG` code (provided by
[SMDG](https://smdg.org/documents/smdg-code-lists/smdg-liner-code-list/)) of the issuing carrier of the Arrival Notice.

`carrierCodeListProvider` defines which list the `carrierCode` is based upon.",
"ArrivalNotice / carrierCodeListProvider",carrierCodeListProvider,string,,maxLength=10,,NMFTA,"The code list provider for the `carrierCode`. Possible values are:
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
"ArrivalNotice / carrierContactInformation","carrierContactInformation","PartyContactDetail list",,,,,"The party to contact for any inquiries related to this Arrival Notice.",
"ArrivalNotice / carrierContactInformation / email",email,string,,maxLength=255,,jane.doe@example.com,"Contact email address",
"ArrivalNotice / carrierContactInformation / name",name,string,,maxLength=255,,"Jane Doe","Contact name",
"ArrivalNotice / carrierContactInformation / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
"ArrivalNotice / charges",charges,"Charge list",,,,,"A list of `Charges`",
"ArrivalNotice / charges / calculationBasis",calculationBasis,string,,maxLength=50,,"Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton, per square metre.",
