Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
Booking,,,,,,,,
"Booking / advanceManifestFilings",advanceManifestFilings,"AdvanceManifestFiling list",,,,,"A list of `Advance Manifest Filings` provided by the carrier",
"Booking / advanceManifestFilings / countryCode",countryCode,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",US,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"Booking / advanceManifestFilings / manifestTypeCode",manifestTypeCode,string,yes,maxLength=50,"^\S(?:.*\S)?$",ACE,"The Manifest type code as defined by the provider.",
"Booking / amendedBookingStatus",amendedBookingStatus,string,,maxLength=50,,AMENDMENT_RECEIVED,"The status of latest amendment added to the `Booking`. If no amendment has been requested - then this field is empty. Possible values are:
- `AMENDMENT_RECEIVED` (An amendment has been received and is awaiting to be processed)
- `AMENDMENT_CONFIRMED` (Amendment is confirmed)
- `AMENDMENT_DECLINED` (Amendment discontinued by provider)
- `AMENDMENT_CANCELLED` (Amendment discontinued by consumer)",
"Booking / bookingCancellationStatus","bookingCancellationStatus",string,,maxLength=50,,CANCELLATION_RECEIVED,"The status of the latest booking cancellation. If no cancellation has been requested - then this property is empty. Possible values are:
- `CANCELLATION_RECEIVED` (A request to cancel a Confirmed Booking has been received and is awaiting to be processed)
- `CANCELLATION_DECLINED` (Cancellation of the Confirmed Booking has been declined by provider)
- `CANCELLATION_CONFIRMED` (Cancellation of the Confirmed Booking has been confirmed by provider)",
"Booking / bookingChannelReference",bookingChannelReference,string,,maxLength=20,"^\S(?:.*\S)?$","Inttra reference","Identification number provided by the platform/channel used for booking request/confirmation, ex: Inttra booking reference, or GTNexus, other.

**Condition:** a booking channel is being used",
"Booking / bookingStatus",bookingStatus,string,yes,maxLength=50,,RECEIVED,"The status of the `Booking`. Possible values are:
- `RECEIVED` (Booking request has been received)
- `PENDING_UPDATE` (An update is required to the Booking)
- `UPDATE_RECEIVED` (An update has been received and is awaiting to be processed)
- `CONFIRMED` (Booking has been Confirmed)
- `PENDING_AMENDMENT` (An amendment is required to the Booking)
- `REJECTED` (Booking discontinued by carrier before it has been Confirmed)
- `DECLINED` (Booking discontinued by carrier after it has been Confirmed)
- `CANCELLED` (Booking discontinued by consumer)
- `COMPLETED` (The Transport Document this Booking is connected to has been Surrendered for Delivery)",
"Booking / cargoMovementTypeAtDestination","cargoMovementTypeAtDestination",string,yes,maxLength=3,,FCL,"Refers to the shipment term at the **unloading** of the cargo out of the container. Possible values are:
- `FCL` (Full Container Load)
- `LCL` (Less than Container Load)",
"Booking / cargoMovementTypeAtOrigin","cargoMovementTypeAtOrigin",string,yes,maxLength=3,,FCL,"Refers to the shipment term at the **loading** of the cargo into the container. Possible values are:
- `FCL` (Full Container Load)
- `LCL` (Less than Container Load)",
"Booking / carrierBookingReference",carrierBookingReference,string,,maxLength=35,"^\S(?:.*\S)?$",ABC709951,"The `carrierBookingReference` if know. Often this will not be known until the booking has been confirmed. Is available during a booking amendment.

**Condition:** `carrierBookingRequestReference` and/or `carrierBookingReference` must be provided",
"Booking / carrierBookingRequestReference","carrierBookingRequestReference",string,,maxLength=100,"^\S(?:.*\S)?$","24595eb0-5cfc-4381-9c3a-cedc1975e9aa","A reference to the booking during the booking request phase.

**Condition:** `carrierBookingRequestReference` and/or `carrierBookingReference` must be provided",
"Booking / carrierClauses",carrierClauses,"string list",,maxLength=20000,"^\S(?:.*\S)?$",,"Additional clauses for a specific shipment added by the carrier to the Bill of Lading, subject to local rules / guidelines or certain mandatory information required to be shared with the customer.
Item description:
The content of the clause.",
"Booking / carrierCode",carrierCode,string,,maxLength=4,"^\S+$",MMCU,"The `SCAC` code (provided by [NMFTA](https://nmfta.org/scac/)) or `SMDG` code (provided by [SMDG](https://smdg.org/documents/smdg-code-lists/smdg-liner-code-list/)) of the carrier the booking request is intended for. `carrierCodeListProvider` defines which list the `carrierCode` is based upon.",
"Booking / carrierCodeListProvider",carrierCodeListProvider,string,,,,NMFTA,"The code list provider for the `carrierCode`. Possible values are:
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
"Booking / carrierExportVoyageNumber","carrierExportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103S,"The carrier specific identifier of the export Voyage.

**Condition:** Mandatory if `expectedDepartureDate` or `expectedArrivalAtPlaceOfDeliveryStartDate` and `expectedArrivalAtPlaceOfDeliveryEndDate` is not provided. If `routingReference` is provided - this property MUST not be provided.",
"Booking / carrierServiceCode",carrierServiceCode,string,,maxLength=11,"^\S(?:.*\S)?$",FE1,"The carrier specific code of the service for which the schedule details are published.

**Condition:** Mandatory if `carrierExportVoyageNumber` is provided and Vessel details or `carrierServiceName` are blank. If `routingReference` is provided - this property MUST not be provided.",
"Booking / carrierServiceName",carrierServiceName,string,,maxLength=50,"^\S(?:.*\S)?$","Great Lion Service","The name of a service as specified by the carrier.

**Condition:** Mandatory if `carrierExportVoyageNumber` is provided and Vessel details or `carrierServiceCode` are blank. If `routingReference` is provided - this property MUST not be provided.",
"Booking / charges",charges,"Charge list",,,,,"A list of `Charges`",
"Booking / charges / calculationBasis",calculationBasis,string,yes,maxLength=50,"^\S(?:.*\S)?$","Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton, per square metre.",
"Booking / charges / chargeName",chargeName,string,yes,maxLength=50,"^\S(?:.*\S)?$","Documentation fee - Destination","Free text field describing the charge to apply",
"Booking / charges / currencyAmount",currencyAmount,"number(float)",yes,minimum=0,,1012.12,"The monetary value of all freight and other service charges for a transport document, with a maximum of 2-digit decimals.",
"Booking / charges / currencyCode",currencyCode,string,yes,"minLength=3
maxLength=3","^[A-Z]{3}$",DKK,"The currency for the charge, using a 3-character code according to [ISO 4217](https://www.iso.org/iso-4217-currency-codes.html).",
"Booking / charges / paymentTermCode",paymentTermCode,string,yes,,,PRE,"An indicator of whether a charge is prepaid (PRE) or collect (COL). When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charge is the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided).
- `PRE` (Prepaid)
- `COL` (Collect)",
"Booking / charges / quantity",quantity,"number(float)",yes,minimum=0,,34.4,"The amount of unit for this charge item.",
"Booking / charges / unitPrice",unitPrice,"number(float)",yes,minimum=0,,3456.6,"The unit price of this charge item in the currency of the charge.",
"Booking / confirmedEquipments",confirmedEquipments,"ConfirmedEquipment list",,,,,"A list of `Confirmed Equipments`

**Condition:** Mandatory and non-empty for a `CONFIRMED` Booking",
"Booking / confirmedEquipments / containerPositionings",containerPositionings,"ContainerPositioningEstimated list",,,,,"A list of date and time and locations of the customer facility where the container(s) will be loaded. If multiple Container positioning locations (`CPO`) are provided (multi-stop), the first location is where the empty container will be stuffed first. The order in which the `CPO` locations should be visited is implicitly defined by the shipper based on the date and time provided per location (all times are estimated).

**Condition:** Only applicable to carrier haulage service at origin (`Receipt type at origin = 'SD'`).",
"Booking / confirmedEquipments / containerPositionings / estimatedDateTime",estimatedDateTime,"string(date-time)",,,,2024-09-04T09:41Z,"The estimated date and time for the positioning of the container(s) at the `Container Positioning Location` (CPO), if provided, or the `Place of Receipt` (PRE) if CPO location is not provided.

**Condition:** Only applicable to carrier haulage service at origin (`Receipt type at origin = 'SD'`).",
"Booking / confirmedEquipments / containerPositionings / location",location,"ContainerPositioningLocation",yes,,,,"The container positioning location.",
"Booking / confirmedEquipments / containerPositionings / location / address",address,Address,,,,,"Address of the location.",
"Booking / confirmedEquipments / containerPositionings / location / address / city",city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
"Booking / confirmedEquipments / containerPositionings / location / address / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"Booking / confirmedEquipments / containerPositionings / location / address / floor",floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
"Booking / confirmedEquipments / containerPositionings / location / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"Booking / confirmedEquipments / containerPositionings / location / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code.",
"Booking / confirmedEquipments / containerPositionings / location / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"Booking / confirmedEquipments / containerPositionings / location / address / street",street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
"Booking / confirmedEquipments / containerPositionings / location / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"Booking / confirmedEquipments / containerPositionings / location / facility",facility,Facility,,,,,"Facility information for the location.",
"Booking / confirmedEquipments / containerPositionings / location / facility / facilityCode",facilityCode,string,yes,maxLength=6,"^\S(?:.*\S)?$",ADT,"The code used for identifying the specific facility. This code does not include the UN Location Code.

The definition of the code depends on the `facilityCodeListProvider`. As code list providers maintain multiple codeLists the following codeList is used:

- `SMDG` (the codeList used is the [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/))
- `BIC` (the codeList used is the [BIC Facility Codes](https://www.bic-code.org/facility-codes/))",
"Booking / confirmedEquipments / containerPositionings / location / facility / facilityCodeListProvider",facilityCodeListProvider,string,yes,,,SMDG,"The provider used for identifying the facility Code. Some facility codes are only defined in combination with an `UN Location Code`
- `BIC` (Requires a UN Location Code)
- `SMDG` (Requires a UN Location Code)",
"Booking / confirmedEquipments / containerPositionings / location / geoCoordinate",geoCoordinate,GeoCoordinate,,,,,"Geographic coordinate (latitude/longitude) of the location.",
"Booking / confirmedEquipments / containerPositionings / location / geoCoordinate / latitude",latitude,string,yes,maxLength=10,,48.85855,"Geographic coordinate that specifies the north–south position of a point on the Earth's surface.",
"Booking / confirmedEquipments / containerPositionings / location / geoCoordinate / longitude",longitude,string,yes,maxLength=11,,2.294492036,"Geographic coordinate that specifies the east–west position of a point on the Earth's surface.",
"Booking / confirmedEquipments / containerPositionings / location / locationName",locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Shanghai Shengdong International Container Terminal","The name of the location.",
"Booking / confirmedEquipments / containerPositionings / location / UNLocationCode",UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
"Booking / confirmedEquipments / emptyContainerPickup",emptyContainerPickup,EmptyContainerPickup,,,,,"The date and time and location for the empty container pick-up.

**Condition:** Only applicable to merchant haulage service at origin (`Receipt type at origin = 'CY'`).",
"Booking / confirmedEquipments / emptyContainerPickup / dateTime",dateTime,"string(date-time)",,,,2024-09-04T09:41Z,"The date and time for the pick-up of the empty container(s) at the Empty container depot release location, if provided.",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation",depotReleaseLocation,"EmptyContainerDepotReleaseLocation",,,,,"The location of the depot from which the empty container(s) will be released from",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation / address",address,Address,,,,,"Address of the location.",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation / address / city",city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation / address / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation / address / floor",floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code.",
"Booking / confirmedEquipments / emptyContainerPickup / depotReleaseLocation / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
