Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
Address,city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
Address,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
Address,floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
Address,postCode,string,,maxLength=10,,"1047 HM","The post code.",
Address,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
Address,street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
Address,streetNumber,string,,maxLength=50,,100,"The number of the street.",
CutOffTime,cutOffDateTime,"string(date-time)",yes,,,2019-11-12T07:41-08:30,"Estimated cut-off time expressed in local time with offset.",
CutOffTime,cutOffDateTimeCode,string,yes,maxLength=3,,DCO,"Code for the cut-off time. Possible values are:
  - `DCO` (Documentation cut-off)
  - `VCO` (VGM cut-off)
  - `FCO` (FCL delivery cut-off)
  - `LCO` (LCL delivery cut-off) **Condition:** only when the `Receipt Type at Origin` is `CFS`
  - `PCO` (Port cut-off)
  - `ECP` (Empty container pick-up date and time)
  - `EFC` (Earliest full-container delivery date)
  - `RCO` (Reefer cut-off)
  - `DGC` (Dangerous Goods cut-off)
  - `OBC` (OOG/BB cut-off)
  - `TCO` (Transhipment cut-off)
  - `STA` (Standard booking acceptance)
  - `SPA` (Special booking acceptance)
  - `CUA` (Customs Acceptance)
  - `AFC` (Advanced filling cut-off)",
ServiceSchedule,carrierServiceCode,string,yes,maxLength=11,"^\S(?:.*\S)?$",FE1,"The carrier-specific code of the service for which the schedule details are published.",
ServiceSchedule,carrierServiceName,string,yes,maxLength=50,"^\S(?:.*\S)?$","Great Lion Service","The name of the service.",
ServiceSchedule,"universalServiceReference",string,,"minLength=8
maxLength=8","^SR\d{5}[A-Z]$",SR12345A,"A global unique service reference, as per DCSA standard, agreed by VSA partners for the service.",
ServiceSchedule,vesselSchedules,"VesselSchedule list",yes,minItems=1,,,,
Timestamp,eventClassifierCode,string,yes,,,PLN,"Code for the event classifier. Values can vary depending on eventType.

Possible values are:
- `ACT` (Actual)
- `EST` (Estimated)
- `PLN` (Planned)",
Timestamp,eventDateTime,"string(date-time)",yes,,,"2025-01-14T09:21+01:00","The local date and time, when the event takes place.",
Timestamp,eventTypeCode,string,yes,,,ARRI,"Identifier for type of transportEvent.

- `ARRI` (Arrived)
- `DEPA` (Departed)",
TransportCall,"carrierExportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103S,"The identifier of an export voyage. The carrier-specific identifier of the export Voyage.",
TransportCall,"carrierImportVoyageNumber",string,yes,maxLength=50,"^\S(?:.*\S)?$",2103N,"The identifier of an import voyage. The carrier-specific identifier of the import Voyage.",
TransportCall,cutOffTimes,"CutOffTime list",,,,,"A list of cut-offs times provided by the carrier when available. A cut-off time indicates the latest date and time by which a task must be completed. For example, the latest date and time by which a container must be delivered to a terminal to be loaded on a vessel, or where certain documentation must be provided by the Shipper.",
TransportCall,location,TransportCallLocation,,,,,"General purpose object to capture location-related data, the location can be specified in **any** of the following ways:
  - `Address` (used to specify the location via an Address)
  - `UNLocationCode`
  - `FacilitySMDGCode` (used to specify a location using a `facilitySMDGCode`)
  It is expected that if a location is specified in multiple ways (both as an `Address` and as a `Facility`) that both ways point to the same location.",
TransportCall,portVisitReference,string,,maxLength=50,,NLRTM1234589,"The unique reference that can be used to link different `transportCallReferences` to the same port visit. The reference is provided by the port to uniquely identify a port call.",
TransportCall,timestamps,"Timestamp list",yes,minItems=1,,,,
TransportCall,transportCallReference,string,yes,maxLength=100,,"SR11111X-9321483-2107W-NLRTM-HPD2-1-1","The unique reference for a transport call. It’s the vessel operator’s responsibility to provide the Transport Call Reference, other parties are obliged to pick it up and use it. It can take the form of Port Call References as defined in OVS Definitions Document, or alternatively a reference as defined by the vessel operator.",
