Path,Attribute,Type,Required,Size,Pattern,Example,Description
DGDeclaration,,,,,,,
"DGDeclaration / consignmentItems",consignmentItems,"ConsignmentItem list",,,,,"A list of `ConsignmentItems`"
"DGDeclaration / consignmentItems / cargoItems",cargoItems,"CargoItem list",,,,,"A list of all `cargoItems`"
"DGDeclaration / consignmentItems / cargoItems / cargoGrossVolume",cargoGrossVolume,Volume,,,,,"Gross volume of the cargo item, calculated by multiplying the width, height, and length of the packaged cargo."
"DGDeclaration / consignmentItems / cargoItems / cargoGrossVolume / unit",unit,string,,maxLength=10,,MTQ,"Measurement unit in which the volume `value` is expressed:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)
- `LTR` (Litre)"
"DGDeclaration / consignmentItems / cargoItems / cargoGrossVolume / value",value,"number(float)",,,,2.4,"Volume value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / cargoGrossWeight",cargoGrossWeight,Weight,,,,,"Gross weight of the cargo item including packaging being carried in the container.
Excludes the tare weight of the container."
"DGDeclaration / consignmentItems / cargoItems / cargoGrossWeight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / consignmentItems / cargoItems / cargoGrossWeight / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / cargoNetVolume",cargoNetVolume,Volume,,,,,"Net volume of the cargo item, calculated by multiplying the width, height, and length of the cargo, excluding packaging."
"DGDeclaration / consignmentItems / cargoItems / cargoNetVolume / unit",unit,string,,maxLength=10,,MTQ,"Measurement unit in which the volume `value` is expressed:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)
- `LTR` (Litre)"
"DGDeclaration / consignmentItems / cargoItems / cargoNetVolume / value",value,"number(float)",,,,2.4,"Volume value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / cargoNetWeight",cargoNetWeight,Weight,,,,,"Net weight of the cargo item, excluding packaging and excluding the tare weight of the container."
