Path,Attribute,Type,Required,Size,Pattern,Example,Description
TransportDocument,,,,,,,
"TransportDocument / cargoMovementTypeAtDestination","cargoMovementTypeAtDestination",string,yes,maxLength=3,,FCL,"Refers to the shipment term at the **unloading** of the cargo out of the container. Possible values are:

- `FCL` (Full Container Load)
- `LCL` (Less than Container Load)"
"TransportDocument / cargoMovementTypeAtOrigin","cargoMovementTypeAtOrigin",string,yes,maxLength=3,,FCL,"Refers to the shipment term at the **loading** of the cargo into the container. Possible values are:

- `FCL` (Full Container Load)
- `LCL` (Less than Container Load)"
"TransportDocument / carrierClauses",carrierClauses,"string list",,maxLength=20000,"^\S(?:.*\S)?$",,"Additional clauses for a specific shipment added by the carrier to the Bill of Lading, subject to local rules / guidelines or certain mandatory information required to be shared with the customer.
Item description:
The content of the clause."
"TransportDocument / carrierCode",carrierCode,string,yes,maxLength=4,"^\S+$",MMCU,"The `SCAC` code (provided by [NMFTA](https://nmfta.org/scac/)) or `SMDG` code (provided by [SMDG](https://smdg.org/documents/smdg-code-lists/smdg-liner-code-list/)) of the issuing carrier of the `Transport Document`. `carrierCodeListProvider` defines which list the `carrierCode` is based upon."
"TransportDocument / carrierCodeListProvider",carrierCodeListProvider,string,yes,,,NMFTA,"The code list provider for the `carrierCode`. Possible values are:
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)"
"TransportDocument / charges",charges,"Charge list",,,,,"A list of `Charges`"
"TransportDocument / charges / calculationBasis",calculationBasis,string,yes,maxLength=50,"^\S(?:.*\S)?$","Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton, per square metre."
"TransportDocument / charges / chargeName",chargeName,string,yes,maxLength=50,"^\S(?:.*\S)?$","Documentation fee - Destination","Free text field describing the charge to apply"
"TransportDocument / charges / currencyAmount",currencyAmount,"number(float)",yes,minimum=0,,1012.12,"The monetary value of all freight and other service charges for a transport document, with a maximum of 2-digit decimals."
"TransportDocument / charges / currencyCode",currencyCode,string,yes,"minLength=3
maxLength=3","^[A-Z]{3}$",DKK,"The currency for the charge, using a 3-character code ([ISO 4217](https://www.iso.org/iso-4217-currency-codes.html))."
"TransportDocument / charges / paymentTermCode",paymentTermCode,string,yes,,,PRE,"An indicator of whether a charge is prepaid (PRE) or collect (COL). When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charge is the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided).

- `PRE` (Prepaid)
- `COL` (Collect)"
"TransportDocument / charges / quantity",quantity,"number(float)",yes,minimum=0,,34.4,"The amount of unit for this charge item."
"TransportDocument / charges / unitPrice",unitPrice,"number(float)",yes,minimum=0,,3456.6,"The unit price of this charge item in the currency of the charge."
"TransportDocument / consignmentItems",consignmentItems,"ConsignmentItem list",yes,minItems=1,,,"A list of `ConsignmentItems`"
"TransportDocument / consignmentItems / cargoItems",cargoItems,"CargoItem list",yes,minItems=1,,,"A list of all `cargoItems`"
"TransportDocument / consignmentItems / cargoItems / cargoGrossVolume",cargoGrossVolume,CargoGrossVolume,,,,,"Gross volume of the cargo."
"TransportDocument / consignmentItems / cargoItems / cargoGrossVolume / unit",unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)"
"TransportDocument / consignmentItems / cargoItems / cargoGrossVolume / value",value,"number(float)",yes,minimum=0,,2.4,"Calculated by multiplying the width, height, and length of the packed cargo. A maximum of 4 decimals should be provided."
"TransportDocument / consignmentItems / cargoItems / cargoGrossWeight",cargoGrossWeight,CargoGrossWeight,yes,,,,"Gross weight of the cargo."
"TransportDocument / consignmentItems / cargoItems / cargoGrossWeight / unit",unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)"
"TransportDocument / consignmentItems / cargoItems / cargoGrossWeight / value",value,"number(float)",yes,minimum=0,,2400,"The weight of the cargo item including packaging being carried in the container. Excludes the tare weight of the container. A maximum of 3 decimals should be provided."
"TransportDocument / consignmentItems / cargoItems / cargoNetVolume",cargoNetVolume,CargoNetVolume,,,,,"Net volume of the cargo."
"TransportDocument / consignmentItems / cargoItems / cargoNetVolume / unit",unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)"
"TransportDocument / consignmentItems / cargoItems / cargoNetVolume / value",value,"number(float)",yes,minimum=0,,2.4,"Calculated by multiplying the width, height, and length of the cargo, excluding packaging."
"TransportDocument / consignmentItems / cargoItems / cargoNetWeight",cargoNetWeight,CargoNetWeight,,,,,"Net weight of the cargo."
"TransportDocument / consignmentItems / cargoItems / cargoNetWeight / unit",unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)"
"TransportDocument / consignmentItems / cargoItems / cargoNetWeight / value",value,"number(float)",yes,minimum=0,,2400,"The weight of the cargo item excluding packaging being carried in the container. Excludes the tare weight of the container. A maximum of 3 decimals should be provided."
"TransportDocument / consignmentItems / cargoItems / customsReferences",customsReferences,"CustomsReference list",,,,,"A list of `Customs references`"
"TransportDocument / consignmentItems / cargoItems / customsReferences / countryCode",countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
