Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ShippingInstructions,,,,,,,,
"ShippingInstructions / advanceManifestFilings",advanceManifestFilings,"AdvanceManifestFiling list",,,,,"A list of `Advance Manifest Filings` specified by the Shipper to indicate whom is to do the Filing",
"ShippingInstructions / advanceManifestFilings / advanceManifestFilingsHouseBLPerformedBy","advanceManifestFilingsHouseBLPerformedBy",string,yes,,,SELF,"Indicates whether the shipper (`SELF`) will perform the advance manifest filing(s) for the House BL directly or if the carrier (`CARRIER`) should file them on their behalf. Allowed values are:

- `SELF` (filing done by the House filer)
- `CARRIER` (the carrier does the filing)

In case of self-filing (`SELF`), the shipper can provide their `selfFilerCode` for each manifest.

**Condition:** The `selfFilerCode` must be provided when `manifestTypeCode` is one of `ACE` (US) or `ACI` (CA) and the `advanceManifestFilingsHouseBLPerformedBy` is set to `SELF`.",
"ShippingInstructions / advanceManifestFilings / countryCode",countryCode,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`.",
"ShippingInstructions / advanceManifestFilings / identificationNumber",identificationNumber,string,,maxLength=17,"^\S(?:.*\S)?$",FLXP-123321,"An identification number of the house filer responsible for submitting the `Advance Manifest Filing`.

**Condition:** Mandatory if `manifestTypeCode` is `ENS` and `advanceManifestFilingsHouseBLPerformedBy` is `SELF`.",
"ShippingInstructions / advanceManifestFilings / manifestTypeCode",manifestTypeCode,string,yes,maxLength=50,"^\S(?:.*\S)?$",ENS,"The Manifest type code as defined by the provider.",
"ShippingInstructions / advanceManifestFilings / selfFilerCode",selfFilerCode,string,,maxLength=100,"^\S(?:.*\S)?$",FLXP,"Code identifying the party who will submit the advance manifest filing(s) for the House BL.

**Mandatory** if `manifestTypeCode` is one of `ACE` (US) or `ACI` (CA) and `advanceManifestFilingsHouseBLPerformedBy` is set to `SELF`.",
"ShippingInstructions / carrierCode",carrierCode,string,,maxLength=4,"^\S+$",MMCU,"The `SCAC` code (provided by [NMFTA](https://nmfta.org/scac/)) or `SMDG` code (provided by [SMDG](https://smdg.org/documents/smdg-code-lists/smdg-liner-code-list/)) of the carrier the `Shipping Instructions` is intended for. `carrierCodeListProvider` defines which list the `carrierCode` is based upon.",
"ShippingInstructions / carrierCodeListProvider",carrierCodeListProvider,string,,,,NMFTA,"The code list provider for the `carrierCode`. Possible values are:
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
"ShippingInstructions / consignmentItems",consignmentItems,"ConsignmentItemShipper list",yes,minItems=1,,,"A list of `ConsignmentItems`",
"ShippingInstructions / consignmentItems / cargoItems",cargoItems,"CargoItemShipper list",yes,minItems=1,,,"A list of all `cargoItems`",
"ShippingInstructions / consignmentItems / cargoItems / cargoGrossVolume",cargoGrossVolume,CargoGrossVolume,,,,,"Calculated by multiplying the width, height, and length of the packed cargo.",
"ShippingInstructions / consignmentItems / cargoItems / cargoGrossVolume / unit",unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)",
"ShippingInstructions / consignmentItems / cargoItems / cargoGrossVolume / value",value,number,yes,minimum=0,,2.4,"Calculated by multiplying the width, height, and length of the packed cargo. A maximum of 4 decimals should be provided.",
"ShippingInstructions / consignmentItems / cargoItems / cargoGrossWeight",cargoGrossWeight,CargoGrossWeight,yes,,,,"The weight of the cargo item including packaging, excluding the tare weight of the container.",
