Object,Attribute,Type,Required,Size,Pattern,Example,Description
Address,city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city."
Address,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`."
Address,floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number."
Address,POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
Address,postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
Address,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
Address,street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street."
Address,streetNumber,string,,maxLength=50,,100,"The number of the street."
AddressHBL,city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city."
AddressHBL,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`."
AddressHBL,floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number."
AddressHBL,POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
AddressHBL,postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
AddressHBL,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
AddressHBL,street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street."
AddressHBL,streetNumber,string,,maxLength=50,,100,"The number of the street."
AdvanceManifestFiling,"advanceManifestFilingsHouseBLPerformedBy",string,yes,,,SELF,"Indicates whether the shipper (`SELF`) will perform the advance manifest filing(s) for the House BL directly or if the carrier (`CARRIER`) should file them on their behalf. Allowed values are:

- `SELF` (filing done by the House filer)
- `CARRIER` (the carrier does the filing)

In case of self-filing (`SELF`), the shipper can provide their `selfFilerCode` for each manifest.

**Condition:** The `selfFilerCode` must be provided when `manifestTypeCode` is one of `ACE` (US) or `ACI` (CA) and the `advanceManifestFilingsHouseBLPerformedBy` is set to `SELF`."
AdvanceManifestFiling,countryCode,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

**Note:** In case the `countryCode` is unknown it is possible to use the code `ZZ`."
AdvanceManifestFiling,identificationNumber,string,,maxLength=17,"^\S(?:.*\S)?$",FLXP-123321,"An identification number of the house filer responsible for submitting the `Advance Manifest Filing`.

**Condition:** Mandatory if `manifestTypeCode` is `ENS` and `advanceManifestFilingsHouseBLPerformedBy` is `SELF`."
AdvanceManifestFiling,manifestTypeCode,string,yes,maxLength=50,"^\S(?:.*\S)?$",ENS,"The Manifest type code as defined by the provider."
AdvanceManifestFiling,selfFilerCode,string,,maxLength=100,"^\S(?:.*\S)?$",FLXP,"Code identifying the party who will submit the advance manifest filing(s) for the House BL.

**Mandatory** if `manifestTypeCode` is one of `ACE` (US) or `ACI` (CA) and `advanceManifestFilingsHouseBLPerformedBy` is set to `SELF`."
Buyer,address,Address,,,,,"An object for storing address related information"
Buyer,addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`."
Buyer,identifyingCodes,"IdentifyingCode list",,,,,
Buyer,partyContactDetails,"PartyContactDetailWithPattern list",,,,,"A list of contact details"
Buyer,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party."
Buyer,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`"
