Object,Attribute,Type,Required,Size,Pattern,Example,Description
Address,city,string,,maxLength=65,,Amsterdam,"The city name of the party's address."
Address,country,string,,maxLength=75,,"The Netherlands","The country of the party's address."
Address,floor,string,,maxLength=50,,N/A,"The floor of the party's street number."
Address,name,string,yes,maxLength=100,,John,"Name of the address."
Address,postCode,string,,maxLength=50,,"1047 HM","The post code of the party's address."
Address,stateRegion,string,,maxLength=65,,"North Holland","The state/region of the party's address."
Address,street,string,,maxLength=100,,Ruijggoordweg,"The name of the street of the party's address."
Address,streetNumber,string,,maxLength=50,,100,"The number of the street of the party's address."
AddressLocation,address,Address,yes,,,,"An object for storing address related information."
AddressLocation,locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location."
AddressLocation,locationType,string,yes,maxLength=4,,ADDR,"Discriminator used to identify this as an `Address` location interface."
FacilitySMDGLocation,facilitySMDGCode,string,yes,maxLength=6,,ACT,"The code used for identifying the specific facility. This code does not include the UN Location Code.

The codeList used by SMDG is the [SMDG Terminal Code List](https://smdg.org/wp-content/uploads/Codelists/Terminals/SMDG-Terminal-Code-List-v20210401.xlsx)"
FacilitySMDGLocation,locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location."
FacilitySMDGLocation,locationType,string,yes,maxLength=4,,FACS,"Discriminator used to identify this as a `Facility Location` interface only using `SMDG` code list."
FacilitySMDGLocation,UNLocationCode,string,yes,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

 - 2 characters for the country code using [ISO 3166-1 alpha-2](https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2)
 - 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://en.wikipedia.org/wiki/UN/LOCODE)"
ServiceSchedule,carrierServiceCode,string,yes,maxLength=11,,FE1,"The carrier-specific code of the service for which the schedule details are published."
ServiceSchedule,carrierServiceName,string,yes,maxLength=50,,"Great Lion Service","The name of the service."
ServiceSchedule,"universalServiceReference",string,,maxLength=8,"^SR\d{5}[A-Z]$",SR12345A,"A global unique service reference, as per DCSA standard, agreed by VSA partners for the service. The service reference must match the regular expression pattern: `SR\d{5}[A-Z]`. The letters `SR` followed by `5 digits`, followed by a checksum-character as a capital letter from `A to Z`."
ServiceSchedule,vesselSchedules,"VesselSchedule list",,,,,
Timestamp,changeRemark,string,,maxLength=250,,"Bad weather","Free text field to provide information as to why the `TransportEvent` was sent."
Timestamp,delayReasonCode,string,,maxLength=3,,WEA,"Reason code for the delay. See SMDG [Code list DELAY](https://smdg.org/documents/smdg-code-lists/delay-reason-and-port-call-activity/) for a list of valid codes to be used for this attribute.

**Deprecated:** Use `delayReasonCodes` instead. If `delayReasonCodes` is used - then values in this property are ignored."
Timestamp,delayReasonCodes,"string list",,maxLength=3,,,"Possibility to add multiple delay reason codes to a `Timestamp`.

**Note:** This property takes precedence over `delayReasonCode` (if both are present - only the ones provided in this property are used).
Item description:
Reason code for the delay. See SMDG [Code list DELAY](https://smdg.org/documents/smdg-code-lists/delay-reason-and-port-call-activity/) for a list of valid codes to be used for this attribute.
"
Timestamp,eventClassifierCode,string,yes,,,EST,"Code for the event classifier. Values can vary depending on eventType.

- **Actual:** The **recorded time** when the event has actually occurred.
- **Estimated:** The updated schedule time based on the **latest regional or coastal schedule (RS/CS)**. It reflects the most up-to-date estimated time as the voyage progresses and can be updated (weekly or daily) several times after the voyage start.
- **Planned:** The scheduled time based on the **long-term service plan** (LTS), published well in advance (typically 12-14 weeks) before the voyage begins, and showing when an event *is planned* to occur.

More information can be found in the OVS Definitions document. Possible value codes:
- `ACT` (Actual)
- `EST` (Estimated)
- `PLN` (Planned)"
Timestamp,eventDateTime,"string(date-time)",yes,,,"2025-01-14T09:21+01:00","Time in the timestamp."
Timestamp,eventTypeCode,string,yes,,,ARRI,"Identifier for type of `transportEvent`
- `ARRI` (Arrived)
- `DEPA` (Departed)"
Timestamp,facilityTypeCode,string,,maxLength=4,,BRTH,"The code to identify the specific type of facility. The following values are supported:
- `PBPL` (Pilot Boarding Place)
- `BRTH` (Berth)

If no value is provided, `BRTH` is the default value."
TransportCall,"carrierExportVoyageNumber",string,,maxLength=50,,2103S,"The identifier of an export voyage. The carrier-specific identifier of the export Voyage."
TransportCall,"carrierImportVoyageNumber",string,yes,maxLength=50,,2103N,"The identifier of an import voyage. The carrier-specific identifier of the import Voyage.

**Note:** In case the `carrierImportVoyageNumber` is not known, `9999R` should be interpreted as ""no voyage number"". The value `9999R` is reserved as a placeholder and **MUST NOT** be used for real voyage numbers."
TransportCall,"location as UNLocationLocation",UNLocationLocation,,,,,"General purpose object to capture location-related data, the location can be specified in **one** of the following ways: `UN Location Code`, a `Facility` or an `Address`."
TransportCall,"location as FacilitySMDGLocation",FacilitySMDGLocation,,,,,"General purpose object to capture location-related data, the location can be specified in **one** of the following ways: `UN Location Code`, a `Facility` or an `Address`."
TransportCall,"location as AddressLocation",AddressLocation,,,,,"General purpose object to capture location-related data, the location can be specified in **one** of the following ways: `UN Location Code`, a `Facility` or an `Address`."
TransportCall,portVisitReference,string,,maxLength=50,,NLAMS1234589,"The unique reference that can be used to link different `transportCallReferences` to the same port visit. The reference is provided by the port to uniquely identify a port call"
TransportCall,statusCode,string,,,,OMIT,"The set of codes in `Status Code` are ONLY meant to communicate any change / exception to the published schedule. This is not required in case of normal schedule. Possible values are:

- `OMIT` (Omit)
- `BLNK` (Blank)
- `ADHO` (Ad Hoc)
- `PHOT` (Phase Out)
- `PHIN` (Phase In)
- `SLID` (Sliding)
- `ROTC` (Rotation Change)
- `CUTR` (Cut and Run)

**Deprecated:** Use `statusCodes` instead. If `statusCodes` is used - then values in this property are ignored."
TransportCall,statusCodes,"string list",,,,,"Possibility to add multiple status codes to a `TransportCall`.

**Note:** This property takes precedence over `statusCode` (if both are present - only the ones provided in this property are used).
Item description:
The set of codes are ONLY meant to communicate any change / exception to the published schedule. This is not required in case of normal schedule. Possible values are:

- `OMIT` (Omit)
- `BLNK` (Blank)
- `ADHO` (Ad Hoc)
- `PHOT` (Phase Out)
- `PHIN` (Phase In)
- `SLID` (Sliding)
- `ROTC` (Rotation Change)
- `CUTR` (Cut and Run)
- `DRYD` (Dry Dock)
- `BUNK` (Bunkering)
- `OOSV` (Out of service)
"
TransportCall,timestamps,"Timestamp list",,,,,
