Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
Address,city,string,,maxLength=35,,Amsterdam,"The name of the city.",
Address,countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
Address,floor,string,,maxLength=50,,N/A,"The floor of the street number.",
Address,POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
Address,postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
Address,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
Address,street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
Address,streetNumber,string,,maxLength=50,,100,"The number of the street.",
ContainerCountBySize,size20Units,integer,,,,123,"The number of 20-foot containers.",
ContainerCountBySize,size40Units,integer,,,,123,"The number of 40-foot containers.",
ContainerCountBySize,size45Units,integer,,,,123,"The number of 45-foot containers.",
ContainerCountBySize,totalUnits,integer,,,,123,"The total number of containers (relevant only if specific numbers for each container size are not provided).",
"ContainerCountByTypeAndSize",emptyUnits,ContainerCountBySize,,,,,"The number of empty containers.",
"ContainerCountByTypeAndSize",ladenUnits,ContainerCountBySize,,,,,"The number of laden containers.",
"ContainerCountByTypeAndSize",outOfGaugeUnits,ContainerCountBySize,,,,,"The number of out-of-gauge containers.",
"ContainerCountByTypeAndSize",pluggedReeferUnits,ContainerCountBySize,,,,,"The number of plugged reefer containers.",
"ContainerCountByTypeAndSize",totalUnits,ContainerCountBySize,,,,,"The total number of containers (relevant only if specific numbers for each container type are not provided).",
Event,eventID,"string(uuid)",,,,"3910eb91-8791-4699-8029-8bba8cedb6f5","Universal unique identifier of the event",
Event,eventUpdatedDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"The date and time when the technical event was last updated.",
Event,isFYI,boolean,,,,false,"Flag indicating that this event is primarily meant for another party - but is sent as a FYI (for your information).",
Event,movesForecasts,"MovesForecast list",,,,,"The moves forecasts of a port call service with `portCallServiceTypeCode='MOVES'`",
Event,portCall,PortCall,,,,,"Port call information",
Event,portCallService,PortCallService,,,,,"Port call service information",
Event,replyToEventID,"string(uuid)",,,,"3910eb91-8791-4699-8029-8bba8cedb6f5","ID of an earlier event to which this event is a reply.

Used when sending a timestamp as a reply to another timestamp as part of
[the ""ERP"" pattern defined by the IMO](https://wwwcdn.imo.org/localresources/en/OurWork/Facilitation/FAL%20related%20nonmandatory%20documents/FAL.5-Circ.52.pdf).",
Event,terminalCall,TerminalCall,,,,,"Terminal call information",
Event,timestamp,Timestamp,,,,,"Timestamp and associated metadata of a port call service,
exchanged between the service provider and service consumer as part of
[the ""ERP"" pattern defined by the IMO](https://wwwcdn.imo.org/localresources/en/OurWork/Facilitation/FAL%20related%20nonmandatory%20documents/FAL.5-Circ.52.pdf).",
Event,vessel,Vessel,,,,,"Vessel information relevant for a port call service",
Facility,facilityCode,string,,maxLength=6,,ADT,"Code identifying a specific facility, as defined by the `facilityCodeListProvider`.",
Facility,facilityCodeListProvider,string,,maxLength=10,,SMDG,"Code list provider (each with its relevant code list) defining the `facilityCode`:
- `SMDG` (using [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/smdg-terminal-code-list/))
- `BIC` (using [BIC Facility Codes](https://www.bic-code.org/facility-codes/))",
FeedbackElement,message,string,,maxLength=5000,,"The facility SMDG code does not match the location UN/LOCODE","Human readable feedback message that can be programmatically relayed to a user of the event publishing organization",
FeedbackElement,propertyPath,string,,maxLength=1000,,"$.events[2].location","[JSONPath](https://github.com/json-path/JsonPath) within the request message of the specific property
about which the feedback is provided (if applicable)",
FeedbackElement,severity,string,,maxLength=50,,ERROR,"Code denoting the severity of a `FeedbackElement`

- `ERROR` - Error that fully or partially prevents the correct processing of the request
- `WARN` - Warning about the request being processed in a potentially unexpected way
- `INFO` - Informational message about how the request is processed",
GeoCoordinate,latitude,string,,maxLength=20,,33.629152,"Latitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
GeoCoordinate,longitude,string,,maxLength=20,,-118.587187,"Longitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
GetEventsError,feedbackElements,"FeedbackElement list",,,,,"Feedback elements indicating why the request could not be processed.

At least one feedback element of severity `ERROR` is expected.
Lower severity feedback elements may also be included.",
GetEventsResponse,events,"Event list",,,,,"The list of events matching the filter specified by the request query parameters",
GetEventsResponse,feedbackElements,"FeedbackElement list",,,,,"Optional list of feedback elements indicating how the request was processed",
Location,address,Address,,,,,"Location address",
Location,facility,Facility,,,,,"Facility identified by a code as defined by a code list provider.",
Location,facilityTypeCode,string,,maxLength=10,,RAMP,"Code identifying a specific type of facility

- `BORD` - Border
- `CLOC` - Customer location
- `COFS` - Container freight station
- `OFFD` - Off-dock storage
- `DEPO` - Depot
- `INTE` - Inland terminal
- `POTE` - Port terminal
- `RAMP` - Ramp
- `WAYP` - Waypoint",
Location,geoCoordinate,GeoCoordinate,,,,,"An object used to express a location using its geographic coordinates.",
Location,locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location.",
Location,UNLocationCode,string,,maxLength=5,,NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
MovesForecast,carrierCode,string,,maxLength=4,,MAEU,"SMDG or SCAC code of the carrier for which the moves forecast is provided.

If left unspecified, this is the aggregated moves forecast is for all the VSA partner carriers on the vessel
for which a dedicated moves forecast was not provided.",
MovesForecast,carrierCodeListProvider,string,,maxLength=5,,SMDG,"The code list provider defining the `carrierCode`:
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
MovesForecast,dischargeUnits,"ContainerCountByTypeAndSize",,,,,"The number of container to discharge.",
MovesForecast,loadUnits,"ContainerCountByTypeAndSize",,,,,"The number of container to load.",
MovesForecast,restowUnits,ContainerCountBySize,,,,,"The number of container to restow.",
PortCall,isOmitted,boolean,,,,false,"Flag indicating whether the port call is omitted by the carrier.",
PortCall,portCallID,"string(uuid)",,,,"3910eb91-8791-4699-8029-8bba8cedb6f5","Universal unique identifier of the port call",
PortCall,portVisitReference,string,,maxLength=50,,NLAMS1234589,"The unique reference that can be used to link different terminal calls to the same port visit.
The reference is provided by the port to uniquely identify a port call.",
PortCall,UNLocationCode,string,,maxLength=5,,NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
PortCallService,facilityTypeCode,string,,maxLength=4,,BRTH,"Code identifying a specific type of facility involved in a port call service:
- `PBPL` (Pilot boarding place)
- `BRTH` (Berth)
- `ANCH` (Anchorage Location)

The `PBPL` facility type is relevant for port call services with the following `portCallServiceTypeCode`:
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `PILOT_BOARDING_PLACE` (Pilot Boarding Place)

The `BRTH` facility type is relevant for port call services with the following `portCallServiceTypeCode`:
- `BERTH` (Berth)
- `CARGO_OPERATIONS` (Cargo operations)
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `MOORING` (Mooring)
- `BUNKERING` (Bunkering)
- `SLUDGE` (Sludge)
- `ALL_FAST` (All Fast)
- `GANGWAY_DOWN_AND_SECURE` (Gangway down and secure)
- `VESSEL_READY_FOR_CARGO_OPERATIONS` (Vessel Ready for cargo operations)
- `VESSEL_READY_TO_SAIL` (Vessel Ready to sail)
- `DISCHARGE_CARGO_OPERATIONS` (Discharge cargo operations)
- `LOADING_CARGO_OPERATIONS` (Loading cargo operations)
- `LASHING` (Lashing)
- `SAFETY` (Safety)
- `ANCHORAGE_OPERATIONS` (Anchorage Operations)
- `SHORE_POWER` (ShorePower)

The `ANCH` facility type is relevant for port call services with the following `portCallServiceTypeCode`:
- `ANCHORAGE` (Anchorage)
- `ANCHORAGE_OPERATIONS` (Anchorage Operations)",
PortCallService,isCanceled,boolean,,,,false,"Flag indicating that this port call service is canceled by the service provider.",
PortCallService,isDeclined,boolean,,,,false,"Flag indicating that this port call service is declined by the service consumer.",
PortCallService,portCallID,"string(uuid)",,,,"3910eb91-8791-4699-8029-8bba8cedb6f5","Universal unique identifier of the port call service",
PortCallService,portCallPhaseTypeCode,string,,maxLength=4,,ALGS,"The general direction of the vessel during this port call service:
- `INBD` (Inbound)
- `ALGS` (Alongside)
- `SHIF` (Shifting)
- `OUTB` (Outbound)

The direction `INBD` should be used with one of these `portCallServiceTypeCode` values:
- `BERTH` (Berth)
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `MOORING` (Mooring)
- `PILOT_BOARDING_PLACE` (Pilot Boarding Place)
- `SEA_PASSAGE` (Sea Passage)

The direction `ALGS` should be used with one of these `portCallServiceTypeCode` values:
- `BERTH` (Berth)
- `BUNKERING` (Bunkering)
- `CARGO_OPERATIONS` (Cargo operations)
- `ALL_FAST` (All Fast)
- `GANGWAY_DOWN_AND_SECURE` (Gangway down and secure)
- `VESSEL_READY_FOR_CARGO_OPERATIONS` (Vessel Ready for cargo operations)
- `VESSEL_READY_TO_SAIL` (Vessel Ready to sail)
- `DISCHARGE_CARGO_OPERATIONS` (Discharge cargo operations)
- `LOADING_CARGO_OPERATIONS` (Loading cargo operations)
- `LASHING` (Lashing)
- `SAFETY` (Safety)
- `SHORE_POWER` (ShorePower)

The direction `SHIF` should be used with one of these `portCallServiceTypeCode` values:
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `MOORING` (Mooring)

The direction `OUTB` should be used with one of these `portCallServiceTypeCode` values:
- `BERTH` (Berth)
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `MOORING` (Mooring)
- `SEA_PASSAGE` (Sea Passage)

The `portCallPhaseTypeCode` is not applicable for these `portCallServiceTypeCode` values:
- `ANCHORAGE` (Anchorage)
- `SLUDGE` (Sludge)
- `ANCHORAGE_OPERATIONS` (Anchorage Operations)
- `MOVES` (Moves)",
PortCallService,"portCallServiceEventTypeCode",string,,maxLength=4,,STRT,"The code to identify the type of event that is related to the port call service:
- `STRT` (Started)
- `CMPL` (Completed)
- `ARRI` (Arrived)
- `DEPA` (Departed)

Services with these `portCallServiceTypeCode` values only have `portCallServiceEventTypeCode` the values `STRT` or `CMPL`:
- `CARGO_OPERATIONS` (Cargo operations)
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `MOORING` (Mooring)
- `BUNKERING` (Bunkering)
- `ANCHORAGE` (Anchorage)
- `SLUDGE` (Sludge)
- `SEA_PASSAGE` (Sea Passage)
- `DISCHARGE_CARGO_OPERATIONS` (Discharge cargo operations)
- `LOADING_CARGO_OPERATIONS` (Loading cargo operations)
- `LASHING` (Lashing)
- `ANCHORAGE_OPERATIONS` (Anchorage Operations)
- `SHORE_POWER` (ShorePower)

Services with these `portCallServiceTypeCode` values only have the `portCallServiceEventTypeCode` value `ARRI`:
- `PILOT_BOARDING_PLACE` (Pilot Boarding Place)
- `ALL_FAST` (All Fast)
- `GANGWAY_DOWN_AND_SECURE` (Gangway down and secure)
- `VESSEL_READY_FOR_CARGO_OPERATIONS` (Vessel Ready for cargo operations)
- `VESSEL_READY_TO_SAIL` (Vessel Ready to sail)
- `MOVES` (Moves)

Services with  `portCallServiceTypeCode='SAFETY'` (Safety) only have the `portCallServiceEventTypeCode` value `DEPA`.

Services with `portCallServiceTypeCode='BERTH'` (Berth) only have the `portCallServiceEventTypeCode` values `ARRI` or `DEPA`.",
PortCallService,portCallServiceTypeCode,string,,maxLength=50,,BERTH,"The type of the port call service, with the value from one of the service lists below.

These port call services are negotiable through an ""ERP"" pattern including an ""A"":
- `BERTH` (Berth)
- `CARGO_OPERATIONS` (Cargo operations)
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `MOORING` (Mooring)
- `BUNKERING` (Bunkering)
- `PILOT_BOARDING_PLACE` (Pilot Boarding Place)
- `ANCHORAGE` (Anchorage)
- `SLUDGE` (Sludge)

These port call services only an ""A"" timestamp without an ""ERP"" pattern:
- `SEA_PASSAGE` (Sea Passage)
- `ALL_FAST` (All Fast)
- `GANGWAY_DOWN_AND_SECURE` (Gangway down and secure)
- `VESSEL_READY_FOR_CARGO_OPERATIONS` (Vessel Ready for cargo operations)
- `VESSEL_READY_TO_SAIL` (Vessel Ready to sail)
- `DISCHARGE_CARGO_OPERATIONS` (Discharge cargo operations)
- `LOADING_CARGO_OPERATIONS` (Loading cargo operations)
- `LASHING` (Lashing)
- `SAFETY` (Safety)
- `ANCHORAGE_OPERATIONS` (Anchorage Operations)
- `SHORE_POWER` (ShorePower)

This port call service has neither an ""A"" timestamp nor an ""ERP"" pattern:
- `MOVES` (Moves)",
PortCallService,serviceLocation,Location,,,,,"The location at which the port call service is provided",
PostEventsError,feedbackElements,"FeedbackElement list",,,,,"Feedback elements indicating why request could not be processed.

At least one feedback element of severity `ERROR` is expected.
Lower severity feedback elements may also be included.

When sent in response to a request that contains an array of events,
the order of the `feedbackElements` is not related to the list of request events.
Instead, the relevant request event is indicated by the `propertyPath` of each `FeedbackElement`.",
PostEventsRequest,events,"Event list",,,,,"List of events.",
PostEventsResponse,feedbackElements,"FeedbackElement list",,,,,"Optional list of feedback elements indicating how the request was processed.

There can be zero, one or more feedback elements per event in the request.
The order of `feedbackElements` is not related to the order of events in the request.
Instead, the relevant request event is indicated by the `propertyPath` of each `FeedbackElement`.",
ServiceCodeOrReference,carrierServiceCode,string,,,,FE1,"Carrier-specific identifier of a service.",
ServiceCodeOrReference,"universalServiceReference",string,,maxLength=8,,SR12345A,"Globally unique identifier of a liner service, assigned by carriers as specified by DCSA.

DCSA generates and distributes batches of Universal Service References (USRs)
to member and non-member carriers upon request, for their own use or for their alliances and VSAs.

A carrier can use each of its assigned USRs either in agreement with its partners for a service under a VSA or Alliance,
or independently for one of its own non-VSA, non-Alliance services.

Every Universal Service Reference is an 8-character string with the following format:
 * the prefix ""SR""
 * 5 digits
 * 1 uppercase English letter (A-Z).",
TerminalCall,carrierServiceName,string,,maxLength=50,,"Great Lion Service","The carrier-specific name of the service for which the schedule details are published.",
TerminalCall,"exportVoyageNumberOrReference",VoyageNumberOrReference,,,,,"Export voyage number or reference",
TerminalCall,"importVoyageNumberOrReference",VoyageNumberOrReference,,,,,"Import voyage number or reference",
TerminalCall,isOmitted,boolean,,,,false,"Flag indicating whether the terminal call is omitted by the carrier.",
TerminalCall,sequenceNumber,integer,,,,2,"Sequential number assigned to each terminal call within a port call,
indicating the order in which the terminal calls are scheduled to occur.
This number helps differentiate multiple terminal visits in the same port call.",
TerminalCall,serviceCodeOrReference,ServiceCodeOrReference,,,,,"Carrier service code and/or universal service reference",
TerminalCall,terminalCallID,"string(uuid)",,,,"3910eb91-8791-4699-8029-8bba8cedb6f5","Universal unique identifier of the terminal call",
TerminalCall,terminalCallReference,string,,maxLength=100,,15063401,"The unique reference of a terminal call, provided by the vessel operator.

This corresponds to the property `transportCallReference` from the DCSA Operational Vessel Schedules (OVS) 3.0 standard.",
Timestamp,classifierCode,string,,maxLength=3,,EST,"Code identifying the type of this timestamp within the context of
[the ""ERP"" pattern defined by the IMO](https://wwwcdn.imo.org/localresources/en/OurWork/Facilitation/FAL%20related%20nonmandatory%20documents/FAL.5-Circ.52.pdf):
- `ACT` (Actual)
- `EST` (Estimated)
- `PLN` (Planned)
- `REQ` (Requested)

Timestamps of type `EST`, `PLN` and `ACT` are sent by the service provider to the service consumer.

Timestamps of type `REQ` are sent by the service consumer to the service provider.

Timestamps of type `ACT` are relevant in port call services of every type except for `MOVES`.

Timestamps of type `EST`, `REQ` and `PLN` are relevant in port call services of these types:
- `BERTH` (Berth)
- `CARGO_OPERATIONS` (Cargo operations)
- `PILOTAGE` (Pilotage)
- `TOWAGE` (Towage)
- `MOORING` (Mooring)
- `BUNKERING` (Bunkering)
- `PILOT_BOARDING_PLACE` (Pilot Boarding Place)
- `ANCHORAGE` (Anchorage)
- `SLUDGE` (Sludge)",
Timestamp,delayReasonCodes,"string list",,maxLength=3,,,"Codes identifying the reasons for a delay
Item description:
Code identifying the reason for a delay,
[as defined by SMDG](https://smdg.org/documents/smdg-code-lists/delay-reason-and-port-call-activity/).
",
Timestamp,remark,string,,maxLength=500,,"Port closed due to strike","Free text used to provide any relevant additional information.",
Timestamp,serviceDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"The date and time when the service was provided or is expected to be provided.",
