Package Code, Package Code Description,
1A, "Drum, steel",
1B, "Drum, aluminium",
1D, "Drum, plywood",
1F, "Container, flexible", "A packaging container of flexible construction."
1G, "Drum, fibre",
1W, "Drum, wooden",
2C, "Barrel, wooden",
3A, "Jerrican, steel",
3H, "Jerrican, plastic",
43, "Bag, super bulk", "A cloth plastic or paper based bag having the dimensions of the pallet on which it is constructed."
44, "Bag, polybag", "A type of plastic bag, typically used to wrap promotional pieces, publications, product samples, and/or catalogues."
4A, "Box, steel",
4B, "Box, aluminium",
4C, "Box, natural wood",
4D, "Box, plywood",
4F, "Box, reconstituted wood",
4G, "Box, fibreboard",
4H, "Box, plastic",
5H, "Bag, woven plastic",
5L, "Bag, textile",
5M, "Bag, paper",
6H, "Composite packaging, plastic receptacle",
6P, "Composite packaging, glass receptacle",
7A, "Case, car", "A type of portable container designed to store equipment for carriage in an automobile."
7B, "Case, wooden", "A case made of wood for retaining substances or articles."
8A, "Pallet, wooden", "A platform or open-ended box, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
8B, "Crate, wooden", "A receptacle, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
8C, "Bundle, wooden", "Loose or unpacked pieces of wood tied or wrapped together."
AA, "Intermediate bulk container, rigid plastic",
AB, "Receptacle, fibre ", "Containment vessel made of fibre used for retaining substances or articles."
AC, "Receptacle, paper ", "Containment vessel made of paper for retaining substances or articles."
AD, "Receptacle, wooden ", "Containment vessel made of wood for retaining substances or articles."
AE, "Aerosol",
AF, "Pallet, modular, collars 80cms * 60cms ", "Standard sized pallet of dimensions 80 centimeters by 60 centimeters (cms)."
AG, "Pallet, shrinkwrapped ", "Pallet load secured with transparent plastic film that has been wrapped around and then shrunk tightly."
AH, "Pallet, 100cms * 110cms ", "Standard sized pallet of dimensions 100centimeters by 110 centimeters (cms)."
AI, "Clamshell",
AJ, "Cone", "Container used in the transport of linear material such as yarn."
AL, "Ball", "A spherical containment vessel for retaining substances or articles."
AM, "Ampoule, non-protected",
AP, "Ampoule, protected",
AT, "Atomizer",
AV, "Capsule",
B4, "Belt", "A band use to retain multiple articles together."
BA, "Barrel",
BB, "Bobbin",
BC, "Bottlecrate / bottlerack",
BD, "Board",
BE, "Bundle",
BF, "Balloon, non-protected",
BG, "Bag", "A receptacle made of flexible material with an open or closed top."
BH, "Bunch",
BI, "Bin",
BJ, "Bucket",
BK, "Basket",
BL, "Bale, compressed",
BM, "Basin",
BN, "Bale, non-compressed",
BO, "Bottle, non-protected, cylindrical ", "A narrow-necked cylindrical shaped vessel without external protective packing material."
BP, "Balloon, protected",
BQ, "Bottle, protected cylindrical", "A narrow-necked cylindrical shaped vessel with external protective packing material."
BR, "Bar",
BS, "Bottle, non-protected, bulbous ", "A narrow-necked bulb shaped vessel without external protective packing material."
BT, "Bolt",
BU, "Butt",
BV, "Bottle, protected bulbous", "A narrow-necked bulb shaped vessel with external protective packing material."
BW, "Box, for liquids",
BX, "Box",
BY, "Board, in bundle/bunch/truss",
BZ, "Bars, in bundle/bunch/truss",
CA, "Can, rectangular",
CB, "Crate, beer",
CC, "Churn",
CD, "Can, with handle and spout",
CE, "Creel",
CF, "Coffer",
CG, "Cage",
CH, "Chest",
CI, "Canister",
CJ, "Coffin",
CK, "Cask",
CL, "Coil",
CM, "Card", "A flat package usually made of fibreboard from/to which product is often hung or attached."
CN, "Container, not otherwise specified as transport equipment",
CO, "Carboy, non-protected",
CP, "Carboy, protected",
