Code,Name,Category,Remark
BOLE,Bolero,eBL Platform,
BRIT,BRITC eBL,eBL Platform,
CARX,CargoX,eBL Platform,
COVA,Covantis,Trade Platform,
CRED,Credore,eBL Platform,
DCSA,Digital Container Shipping Association,Standards Body,
DNB,Dun & Bradstreet,Data Provider,
ESSD,EssDOCS,eBL Platform,Deprecated. Do not use. Use IDT instead.
ETEU,eTEU,eBL Platform,
ETIT,e-title,eBL Platform,
FMC,Federal Maritime Commission,Regulator,
GLEIF,Global Legal Entity Identifier Foundation,Standards / Registry,
GSBN,Global Shipping Business Network,Trade Data Platform,
IDT,ICE Digital Trade,eBL Platform,
IQAX,IQAX,Trade Tech Provider,
KTNE,KTNET,Trade Tech / EDI Hub,
NMFTA,National Motor Freight Traffic Association,Standards Body,
SECR,Secro,eBL Platform,
SMDG,Ship Message Design Group,Standards Body,
TRAC,Enigio trace:original,Digital Document Technology,
TRGO,TradeGO,eBL Platform,
W3C,World Wide Web Consortium,Global Standards Body,
WAVE,Wave,eBL Platform,
WISE,WiseTech,Trade Tech Provider,
ZZZ,Mutually defined,Placeholder,
